epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.51313,0.90039,2.17679,1.12798,0.81395,0.72922,0.82554,0.6282,0.84796,1.61115,1.05119,0,0,0
2,11.9676,0.8836,2.05069,1.08633,0.81941,0.72791,0.82554,0.63688,0.84522,1.59946,1.04262,7.02219e-06,7.02219e-06,7.02219e-06
3,17.8629,0.85006,2.00209,1.13572,0.81343,0.72572,0.82758,0.62743,0.83679,1.58649,1.03937,1.38088e-05,1.38088e-05,1.38088e-05
4,22.7605,0.85894,1.91285,1.11235,0.7937,0.72582,0.82889,0.64335,0.82705,1.5623,1.03622,2.03597e-05,2.03597e-05,2.03597e-05
5,27.9957,0.81353,2.12015,1.06035,0.74581,0.774,0.82907,0.64859,0.81302,1.55599,1.03241,2.6675e-05,2.6675e-05,2.6675e-05
6,32.6219,0.763,1.7588,0.98754,0.79194,0.71044,0.80994,0.62322,0.80268,1.55614,1.02709,3.27547e-05,3.27547e-05,3.27547e-05
7,37.6159,0.78773,2.03905,1.00751,0.78829,0.70344,0.80994,0.63303,0.80412,1.56749,1.02615,3.85988e-05,3.85988e-05,3.85988e-05
8,42.1187,0.78544,1.7486,1.11507,0.75526,0.70954,0.80068,0.64168,0.80993,1.57609,1.03753,4.42073e-05,4.42073e-05,4.42073e-05
9,46.5903,0.71539,1.71745,1.02558,0.61829,0.87752,0.80068,0.63307,0.80951,1.59693,1.03723,4.95802e-05,4.95802e-05,4.95802e-05
10,51.0566,0.70153,1.61499,1.02516,0.6082,0.87962,0.80068,0.63688,0.81559,1.61292,1.04046,5.47174e-05,5.47174e-05,5.47174e-05
11,55.9364,0.68245,1.73451,1.00883,0.59503,0.9021,0.80068,0.64293,0.81213,1.61931,1.03386,5.9619e-05,5.9619e-05,5.9619e-05
12,60.4434,0.68481,1.44916,1.00621,0.58852,0.89858,0.80881,0.64092,0.81043,1.64633,1.03101,6.4285e-05,6.4285e-05,6.4285e-05
13,65.4446,0.68703,1.40197,1.01457,0.64053,0.88422,0.8186,0.65281,0.80478,1.66474,1.02638,6.87154e-05,6.87154e-05,6.87154e-05
14,70.3214,0.74021,1.50115,1.01619,0.66006,0.85623,0.80994,0.65097,0.79188,1.67108,1.02049,7.29101e-05,7.29101e-05,7.29101e-05
15,75.4593,0.70085,1.39171,1.05435,0.67788,0.84777,0.81148,0.66333,0.77424,1.66278,1.01107,7.68692e-05,7.68692e-05,7.68692e-05
16,80.2114,0.67097,1.37428,1.00327,0.77519,0.76581,0.8137,0.66964,0.76399,1.63589,1.0062,8.05928e-05,8.05928e-05,8.05928e-05
17,84.7745,0.79781,1.2826,1.11505,0.82364,0.80746,0.83222,0.68756,0.74776,1.59829,0.99836,8.40806e-05,8.40806e-05,8.40806e-05
18,89.2735,0.68764,1.27736,1.04333,0.82364,0.80746,0.83222,0.68756,0.74776,1.59829,0.99836,8.73329e-05,8.73329e-05,8.73329e-05
19,94.2743,0.67736,1.34539,0.94499,0.80567,0.82576,0.84301,0.70497,0.72263,1.5052,0.98493,9.03496e-05,9.03496e-05,9.03496e-05
20,98.9214,0.68979,1.27814,1.0682,0.80567,0.82576,0.84301,0.70497,0.72263,1.5052,0.98493,9.31306e-05,9.31306e-05,9.31306e-05
21,103.651,0.69403,1.3659,0.98142,0.78947,0.85749,0.82917,0.69934,0.69811,1.41549,0.98154,9.5676e-05,9.5676e-05,9.5676e-05
22,108.485,0.67339,1.13673,0.99403,0.78947,0.85749,0.82917,0.69934,0.69811,1.41549,0.98154,9.79858e-05,9.79858e-05,9.79858e-05
23,113.187,0.57415,1.15779,0.94695,0.78694,0.85983,0.82357,0.70815,0.6839,1.33519,0.97753,0.00010006,0.00010006,0.00010006
24,118.263,0.69749,1.33445,1.07878,0.78694,0.85983,0.82357,0.70815,0.6839,1.33519,0.97753,0.000101899,0.000101899,0.000101899
25,122.887,0.63441,1.10197,1.03335,0.77849,0.87222,0.842,0.72519,0.69661,1.24353,0.97816,0.000103501,0.000103501,0.000103501
26,127.588,0.68435,1.23536,1.01399,0.77849,0.87222,0.842,0.72519,0.69661,1.24353,0.97816,0.000104869,0.000104869,0.000104869
27,132.662,0.65026,1.42565,0.92909,0.78265,0.88478,0.86583,0.75155,0.70765,1.17686,0.97641,0.000106,0.000106,0.000106
28,137.709,0.64761,1.24334,1.01949,0.78265,0.88478,0.86583,0.75155,0.70765,1.17686,0.97641,0.000106897,0.000106897,0.000106897
29,142.405,0.61243,1.01048,0.9459,0.79874,0.89215,0.86583,0.7474,0.71324,1.14735,0.9769,0.000107557,0.000107557,0.000107557
30,146.912,0.6657,1.06423,0.98204,0.79874,0.89215,0.86583,0.7474,0.71324,1.14735,0.9769,0.000107982,0.000107982,0.000107982
31,151.641,0.70271,1.22355,0.97036,0.81022,0.89044,0.86583,0.7474,0.71613,1.12666,0.97332,0.000108171,0.000108171,0.000108171
32,156.379,0.60847,1.06309,0.93496,0.81022,0.89044,0.86583,0.7474,0.71613,1.12666,0.97332,0.000108125,0.000108125,0.000108125
33,161.16,0.68012,0.99771,1.00748,0.80968,0.89121,0.88426,0.75708,0.7183,1.10725,0.97305,0.000107843,0.000107843,0.000107843
34,165.813,0.65631,0.96556,0.97614,0.80968,0.89121,0.88426,0.75708,0.7183,1.10725,0.97305,0.000107325,0.000107325,0.000107325
